id,latitude,longitude,type,power_kw,name,predicted_demand_kwh,dist_to_center_km,dist_to_station_m,demand_score,competition_score,center_score,type_score,score,priority,utilization,capex,annual_revenue,annual_cf,npv,irr,payback_years
210470817,55.7475328,37.5812912,mall,150,Смоленский пассаж,48.19,2.43,812,1.0,0.0758665794637017,0.9165521978021978,1.0,0.7564494745362551,1,0.11,6000000.0,2897042.0,1697042.0,3588663.0,0.253,4.0
34869659,55.7743638,37.5460966,mall,150,"Торговый центр ""На Беговой""",41.77,4.91,1397,0.8667773396970326,0.1305241521068859,0.8313873626373627,1.0,0.6907278122708421,2,0.102,6000000.0,2686145.0,1486145.0,2397048.0,0.211,5.0
5436420781,55.786561,37.5332007,transport_hub,150,ЦСКА,41.83,6.27,1977,0.8680224112886491,0.18471456600953,0.7846840659340659,0.9,0.6878924570368169,3,0.102,6000000.0,2688116.0,1488116.0,2408184.0,0.212,5.0
7340764979,55.7647338,37.7067382,transport_hub,150,Лефортово,41.83,5.68,1801,0.8680224112886491,0.1682705783425208,0.804945054945055,0.9,0.686820608471713,4,0.102,6000000.0,2688116.0,1488116.0,2408184.0,0.212,5.0
4847996860,55.8133726,37.6025285,transport_hub,150,Бутырская,41.83,6.47,1533,0.8680224112886491,0.1432308698495749,0.7778159340659341,0.9,0.6764913132166083,5,0.102,6000000.0,2688116.0,1488116.0,2408184.0,0.212,5.0
45404829,55.7331093,37.5923089,mall,150,"Торговая галерея ""Акрополь""",39.69,2.97,686,0.8236148578543266,0.0640941792020928,0.8980082417582418,1.0,0.6625322099914227,6,0.1,6000000.0,2617816.0,1417816.0,2010979.0,0.197,5.0
1158396469,55.7761384,37.5840675,transport_hub,150,Белорусская,38.79,3.07,1192,0.8049387839800789,0.1113706437447444,0.8945741758241759,0.9,0.6544981792998519,7,0.098,6000000.0,2588252.0,1388252.0,1843931.0,0.191,5.0
294024698,55.7291072,37.6244196,transport_hub,150,Добрынинская,38.79,3.0,812,0.8049387839800789,0.0758665794637017,0.896978021978022,0.9,0.6459827401526681,8,0.098,6000000.0,2588252.0,1388252.0,1843931.0,0.191,5.0
26999673,55.7788343,37.6537207,transport_hub,150,Москва-Пассажирская,38.79,3.43,859,0.8049387839800789,0.0802578716247781,0.8822115384615384,0.9,0.6448655906654647,9,0.098,6000000.0,2588252.0,1388252.0,1843931.0,0.191,5.0
38448827,55.7228259,37.6749826,mall,150,Larin,38.29,5.15,915,0.7945631873832746,0.0854900495188265,0.8231456043956044,1.0,0.6421259467306846,10,0.098,6000000.0,2571826.0,1371826.0,1751126.0,0.188,5.0
154260923,55.5600962,37.8717414,mall,50,"Торгово-бытовой комплекс ""Молоково""",6.25,26.99,10531,0.1296949574600539,0.9839297393254228,0.0731456043956044,1.0,0.4218017542207233,11,0.06,2000000.0,525600.0,-674400.0,-5810510.0,-0.5,10.0
63083207,55.6054024,37.3536096,mall,50,,8.03,23.52,8135,0.1666320813446773,0.7600672708586378,0.1923076923076924,1.0,0.402179012233152,12,0.06,2000000.0,525928.0,-674072.0,-5808654.0,-0.5,10.0
1135925545,55.8053983,37.7808373,mall,50,Парковый,12.71,11.62,3425,0.2637476654907657,0.3200037372699243,0.6009615384615385,1.0,0.4020189978320947,13,0.066,2000000.0,577174.0,-622826.0,-5519103.0,-0.5,10.0
161138005,55.6218777,37.7833109,mall,50,Южные ворота,9.45,18.17,6139,0.1960987756796015,0.5735775016350556,0.3760302197802198,1.0,0.3978482962155977,14,0.062,2000000.0,541478.0,-658522.0,-5720799.0,-0.5,10.0
29451041,55.6465768,37.7156016,mall,50,"Торговый корпус ""Евромаг""",11.55,13.62,4166,0.2396762813861797,0.3892366626179576,0.5322802197802199,1.0,0.3969893393146122,15,0.064,2000000.0,564473.0,-635527.0,-5590872.0,-0.5,10.0
830770316,55.7070865,37.4570745,mall,50,Kvartal West,12.71,11.4,3045,0.2637476654907657,0.2844996729888816,0.6085164835164836,1.0,0.3942762235200758,16,0.066,2000000.0,577174.0,-622826.0,-5519103.0,-0.5,10.0
25010036,55.7882285,37.7870761,mall,50,ТК «Измайловская ярмарка»,12.71,11.21,2877,0.2637476654907657,0.2688031393067364,0.6150412087912087,1.0,0.3913307988907483,17,0.066,2000000.0,577174.0,-622826.0,-5519103.0,-0.5,10.0
42677078,55.703257,37.7262246,mall,50,Фермер Центр,12.71,8.98,2322,0.2637476654907657,0.2169485191067925,0.6916208791208791,1.0,0.3898540943902128,18,0.066,2000000.0,577174.0,-622826.0,-5519103.0,-0.5,10.0
107553505,55.7648342,37.7885244,mall,50,Макссити,12.71,10.76,2548,0.2637476654907657,0.2380640941792021,0.6304945054945055,1.0,0.3859640321143592,19,0.066,2000000.0,577174.0,-622826.0,-5519103.0,-0.5,10.0
5859660624,55.592027,37.3645643,mall,50,Итал квартал,8.03,24.14,7522,0.1666320813446773,0.7027936092684294,0.1710164835164835,1.0,0.3846669155169185,20,0.06,2000000.0,525928.0,-674072.0,-5808654.0,-0.5,10.0
