id,latitude,longitude,type,power_kw,name,predicted_demand_kwh,dist_to_center_km,dist_to_station_m
26999673,55.7788343,37.6537207,transport_hub,150,Москва-Пассажирская,38.79,3.43,859
31447943,55.7268977,37.4495857,transport_hub,150,Кунцевская,35.39,10.98,1575
54626031,55.8030155,37.7466848,transport_hub,150,Черкизово,35.39,9.65,1989
68916801,55.788503,37.7509929,transport_hub,150,Партизанская,30.08,9.12,828
68937012,55.7833072,37.7212818,transport_hub,150,Семёновская,30.08,7.19,915
146573247,55.795067,37.6322554,transport_hub,150,Москва-Рижская,38.79,4.47,822
220196839,55.699905,37.6512864,transport_hub,150,Кожухово,29.28,6.57,572
220203803,55.7154769,37.6874448,transport_hub,150,Угрешская,35.55,6.28,898
241158327,55.7461266,37.5148273,transport_hub,150,Фили,35.55,6.5,831
241158415,55.7388299,37.5484101,transport_hub,150,Студенческая,31.94,4.71,606
242546356,55.7730392,37.6805494,transport_hub,150,Бауманская,31.94,4.4,573
244036856,55.7359875,37.4671358,transport_hub,150,Пионерская,30.08,9.65,1008
252828224,55.747394,37.5818245,transport_hub,150,Смоленская,44.75,2.41,830
253016893,55.7088138,37.7315039,transport_hub,150,Текстильщики,35.39,8.86,2253
253016895,55.7156444,37.8179229,transport_hub,150,Выхино,27.35,13.33,1347
253045735,55.7500874,37.5413666,transport_hub,150,Деловой центр,31.94,4.79,671
253780238,55.7295963,37.4707878,transport_hub,150,Славянский бульвар,30.08,9.62,1488
255744331,55.751769,37.8167454,transport_hub,150,Новогиреево,32.18,12.49,1890
255744332,55.7511973,37.7864823,transport_hub,150,Перово,35.39,10.6,1612
255744578,55.7575686,37.7494868,transport_hub,150,Шоссе Энтузиастов,35.39,8.27,1623
259785706,55.6188619,37.5082183,transport_hub,150,Тёплый Стан,26.32,16.69,2454
259786804,55.657091,37.5405263,transport_hub,150,Калужская,30.08,11.98,1488
259786806,55.6702787,37.5546984,transport_hub,150,Новые Черёмушки,30.08,10.29,846
264162888,55.6063062,37.533407,transport_hub,150,Ясенево,26.32,17.44,3203
265949954,55.8146824,37.73434,transport_hub,150,Бульвар Рокоссовского,30.08,9.82,721
265949956,55.8038807,37.7450321,transport_hub,150,Черкизовская,35.39,9.61,1923
266426836,55.842712,37.5304764,transport_hub,150,Лихоборы,35.39,11.08,2226
266835841,55.8550132,37.4762129,transport_hub,150,Речной вокзал,27.35,14.12,1231
266835844,55.8400589,37.4867105,transport_hub,150,Водный стадион,22.52,12.43,527
266835845,55.819052,37.4980181,transport_hub,150,Войковская,30.08,10.25,1058
266835847,55.8003966,37.5331501,transport_hub,150,Аэропорт,30.08,7.23,869
267335088,55.7752083,37.6560339,transport_hub,150,Комсомольская,31.94,3.24,511
267335089,55.780356,37.6676557,transport_hub,150,Красносельская,31.94,4.17,613
267772268,55.6534701,37.8596249,transport_hub,150,Яничкино,26.32,18.97,1836
268521588,55.8552129,37.652706,transport_hub,150,Свиблово,24.77,11.27,564
268521591,55.8448445,37.6382462,transport_hub,150,Ботанический сад,24.77,9.99,576
276191013,55.7525349,37.7200631,transport_hub,150,Авиамоторная,29.28,6.44,524
277499099,55.7937015,37.6364976,transport_hub,150,Рижская,31.94,4.38,634
278693055,55.7233833,37.5642133,transport_hub,150,Спортивная,31.94,4.9,520
282413851,55.6878077,37.5735148,transport_hub,150,Академическая,24.77,8.04,594
282414382,55.6779304,37.5629043,transport_hub,150,Профсоюзная,30.08,9.3,838
282416839,55.6427774,37.5256804,transport_hub,150,Беляево,32.18,13.82,1844
291687197,55.7488081,37.5827207,transport_hub,150,Смоленская,44.75,2.3,779
291687455,55.7701709,37.5950872,transport_hub,150,Маяковская,36.85,2.12,593
291712231,55.6009942,37.554139,transport_hub,150,Новоясеневская,26.32,17.66,2590
292143794,55.7575071,37.6191912,transport_hub,150,Театральная,36.85,0.22,504
292147581,55.6784809,37.6639248,transport_hub,150,Коломенская,30.08,9.08,1081
292148161,55.6936232,37.6644353,transport_hub,150,Технопарк,30.08,7.52,980
292789222,55.654956,37.6221979,transport_hub,150,Варшавская,24.77,11.22,573
294024698,55.7291072,37.6244196,transport_hub,150,Добрынинская,38.79,3.0,812
296947185,55.7192085,37.6755406,transport_hub,150,Дубровка,35.55,5.46,974
296949278,55.6934907,37.726952,transport_hub,150,Печатники,35.39,9.75,2418
296949283,55.6908257,37.7531007,transport_hub,150,Волжская,35.39,11.16,1762
296949290,55.6500158,37.7431467,transport_hub,150,Марьино,32.18,14.16,2964
296953130,55.7279529,37.6248289,transport_hub,150,Серпуховская,38.79,3.13,766
296953132,55.6829727,37.6224144,transport_hub,150,Нагатинская,30.08,8.1,932
296953133,55.6719433,37.6102741,transport_hub,150,Нагорная,30.08,9.33,1294
