id,latitude,longitude,power_kw,connector_type,dist_to_center,lat_bin,lon_bin,traffic,demand_kwh,predicted_demand_kwh
1,55.71236203565421,37.721015823077146,50,CHAdeMO,12.481370655925538,55.71,37.72,878.8310917502686,69.39849197639711,68.74645
2,55.88521429192297,37.44206998249752,150,CCS,24.180075004602635,55.89,37.44,878.8310917502686,89.63784459622734,89.758705
3,55.81959818254342,37.48081435704731,50,GBT,16.723298027017556,55.82,37.480000000000004,770.1626345972054,50.26821956471246,50.330006
4,55.77959754525911,37.84927709426354,50,CHAdeMO,25.884594401123376,55.78,37.85,930.2798891421934,62.26119496984944,62.049496
5,55.64680559213273,37.70321452982979,150,CCS,15.405059481749129,55.65,37.7,878.8310917502686,103.25763424907939,102.4747
6,55.64679835610086,37.40459852580831,50,CHAdeMO,26.529528404904305,55.65,37.4,161.3537422157643,24.32149585330801,24.39154
7,55.61742508365046,37.45073577143302,150,CCS,24.0363726656521,55.620000000000005,37.45,510.28629296065475,61.91501231595043,61.95751
8,55.85985284373248,37.731750884554025,50,CCS,17.169514755284407,55.86,37.730000000000004,878.8310917502686,65.58651347441852,65.6889
9,55.780334503522965,37.40253079192311,350,CCS,23.994429862783836,55.78,37.4,878.8310917502686,150.322741248764,150.63588
10,55.81242177333881,37.48040402570875,350,GBT,16.443942137121425,55.81,37.480000000000004,600.0699553875145,157.72030093228673,130.13387
11,55.60617534828874,37.67436689468329,50,GBT,17.775313780266103,55.61,37.67,878.8310917502686,68.01233497056128,67.79614
12,55.8909729556486,37.74594759884634,50,CHAdeMO,20.713305673068817,55.89,37.75,1298.4494601012734,73.37674633787219,73.51967
13,55.849732792240125,37.7259806297513,50,CCS,15.944966959510943,55.85,37.730000000000004,1299.8810171861949,80.78124181761581,80.80254
14,55.66370173320348,37.51213465473028,350,CCS,15.51692682014366,55.660000000000004,37.51,1076.9202738468107,128.19169041669758,128.2209
15,55.65454749016213,37.75608961067377,50,GBT,19.0696018980348,55.65,37.76,1319.276697856103,86.9034938610652,86.88399
16,55.655021352956034,37.5186245437484,350,CCS,15.655794058952127,55.660000000000004,37.52,1253.4124101580428,146.4361180233751,164.75049
17,55.69127267288786,37.56269984907964,150,GBT,9.382588066493257,55.69,37.56,949.9576957456468,101.07581454863049,83.68713
18,55.75742692948967,37.77324570255901,350,CCS,17.31091497171868,55.76,37.77,909.1155448057872,172.9844774929743,172.45686
19,55.72958350559264,37.72481644952361,350,CHAdeMO,12.283990163488228,55.730000000000004,37.72,1072.9136082754294,160.18404740520646,129.56183
20,55.68736874205941,37.82461170524709,150,CCS,24.23284830539491,55.69,37.82,569.9662380073688,80.2972896430606,79.71249
21,55.78355586841671,37.72880644615017,350,CCS,12.754897784605188,55.78,37.730000000000004,1216.4489126410117,135.88607571325235,135.81656
22,55.641848158195614,37.68415430166773,50,GBT,14.664826617238791,55.64,37.68,504.3544804984575,47.31627352783411,47.044926
23,55.68764339456057,37.44683738391405,50,CCS,20.37774578878589,55.69,37.45,883.4891937472441,53.23183904713814,53.621338
24,55.70990855298811,37.58385790152972,350,CCS,6.303000740997372,55.71,37.58,878.8310917502686,150.75713749183276,150.8513
25,55.73682099526511,37.53260118384086,50,GBT,9.634705419023202,55.74,37.53,1077.5908687165922,61.36067814366207,61.21655
26,55.8355527884179,37.52199482168954,350,CHAdeMO,13.79421624559841,55.84,37.52,878.8310917502686,157.62934849010287,157.73979
27,55.65990213464751,37.88650527737622,50,CHAdeMO,31.721128187081685,55.660000000000004,37.89,171.40115987575518,24.95375164774456,24.8738
28,55.75427033152408,37.59654886233338,50,GBT,2.309625948697647,55.75,37.6,830.8188314587794,52.07859513351536,52.39197
29,55.77772437065861,37.84602327758856,350,GBT,25.50465426011416,55.78,37.85,930.2798891421934,167.2035380772717,167.2128
