id,latitude,longitude,type,power_kw,name,predicted_demand_kwh,dist_to_center_km,dist_to_station_m,demand_score,competition_score,center_score,type_score,score,priority
210470817,55.7475328,37.5812912,mall,150,Смоленский пассаж,48.19,2.43,812,1.0,0.07586657946370176,0.9165521978021978,1.0,0.7564494745362551,1
34869659,55.7743638,37.5460966,mall,150,"Торговый центр ""На Беговой""",41.77,4.91,1397,0.8667773396970326,0.13052415210688592,0.8313873626373627,1.0,0.6907278122708421,2
5436420781,55.786561,37.5332007,transport_hub,150,ЦСКА,41.83,6.27,1977,0.8680224112886491,0.18471456600953004,0.7846840659340659,0.9,0.6878924570368169,3
7340764979,55.7647338,37.7067382,transport_hub,150,Лефортово,41.83,5.68,1801,0.8680224112886491,0.1682705783425208,0.804945054945055,0.9,0.686820608471713,4
4847996860,55.8133726,37.6025285,transport_hub,150,Бутырская,41.83,6.47,1533,0.8680224112886491,0.1432308698495749,0.7778159340659341,0.9,0.6764913132166083,5
45404829,55.7331093,37.5923089,mall,150,"Торговая галерея ""Акрополь""",39.69,2.97,686,0.8236148578543266,0.06409417920209287,0.8980082417582418,1.0,0.6625322099914227,6
1158396469,55.7761384,37.5840675,transport_hub,150,Белорусская,38.79,3.07,1192,0.8049387839800789,0.11137064374474447,0.8945741758241759,0.9,0.6544981792998519,7
294024698,55.7291072,37.6244196,transport_hub,150,Добрынинская,38.79,3.0,812,0.8049387839800789,0.07586657946370176,0.896978021978022,0.9,0.6459827401526681,8
26999673,55.7788343,37.6537207,transport_hub,150,Москва-Пассажирская,38.79,3.43,859,0.8049387839800789,0.0802578716247781,0.8822115384615384,0.9,0.6448655906654647,9
38448827,55.7228259,37.6749826,mall,150,Larin,38.29,5.15,915,0.7945631873832746,0.0854900495188265,0.8231456043956044,1.0,0.6421259467306846,10
154260923,55.5600962,37.8717414,mall,50,"Торгово-бытовой комплекс ""Молоково""",6.25,26.99,10531,0.12969495746005397,0.9839297393254228,0.07314560439560447,1.0,0.4218017542207233,11
63083207,55.6054024,37.3536096,mall,50,,8.03,23.52,8135,0.1666320813446773,0.7600672708586378,0.1923076923076924,1.0,0.402179012233152,12
1135925545,55.8053983,37.7808373,mall,50,Парковый,12.71,11.62,3425,0.2637476654907657,0.3200037372699243,0.6009615384615385,1.0,0.4020189978320947,13
161138005,55.6218777,37.7833109,mall,50,Южные ворота,9.45,18.17,6139,0.19609877567960157,0.5735775016350556,0.3760302197802198,1.0,0.3978482962155977,14
29451041,55.6465768,37.7156016,mall,50,"Торговый корпус ""Евромаг""",11.55,13.62,4166,0.23967628138617972,0.3892366626179576,0.5322802197802199,1.0,0.3969893393146122,15
830770316,55.7070865,37.4570745,mall,50,Kvartal West,12.71,11.4,3045,0.2637476654907657,0.2844996729888816,0.6085164835164836,1.0,0.39427622352007585,16
25010036,55.7882285,37.7870761,mall,50,ТК «Измайловская ярмарка»,12.71,11.21,2877,0.2637476654907657,0.26880313930673644,0.6150412087912087,1.0,0.3913307988907483,17
42677078,55.703257,37.7262246,mall,50,Фермер Центр,12.71,8.98,2322,0.2637476654907657,0.2169485191067925,0.6916208791208791,1.0,0.3898540943902128,18
107553505,55.7648342,37.7885244,mall,50,Макссити,12.71,10.76,2548,0.2637476654907657,0.2380640941792021,0.6304945054945055,1.0,0.38596403211435926,19
5859660624,55.592027,37.3645643,mall,50,Итал квартал,8.03,24.14,7522,0.1666320813446773,0.7027936092684294,0.17101648351648358,1.0,0.38466691551691856,20
