id,latitude,longitude,power_kw,connector_type,dist_to_center,lat_bin,lon_bin,traffic,demand_kwh,predicted_demand_kwh,demand_score,dist_to_grid_km,grid_capacity_kw,grid_load_kw,grid_free_kw,grid_score,score,priority,utilization,capex,annual_revenue,annual_cf,npv,irr,payback_years
128,55.8582191749769,37.705860373117176,350,CHAdeMO,15.029181560251146,55.86,37.71,878.8310917502686,169.8963909715042,169.3094,0.88407385768517,2.4495407642079643,1500,554.1581174522897,945.8418825477104,0.6305612550318068,0.5755856864623276,1,0.112,14000000.0,6842431.0,5642431.0,17880996.0,0.388,3.0
121,55.84223204654922,37.67461333235306,350,GBT,11.5115705924724,55.84,37.67,878.8310917502686,177.37829781880637,176.37408,0.9209631201886768,5.252834254774946,1500,436.4373725262676,1063.5626274737324,0.709041751649155,0.5539224883938718,2,0.116,14000000.0,7102355.0,5902355.0,19349623.0,0.408,3.0
147,55.782869300193966,37.71754682543382,350,CHAdeMO,11.525933966965038,55.78,37.72,1458.5228863603777,160.25536383395084,160.18932,0.836452022701422,3.430899635504214,1500,436.4373725262676,1063.5626274737324,0.709041751649155,0.5530360446868516,3,0.106,14000000.0,6506885.0,5306885.0,15985086.0,0.362,3.0
47,55.69351332282682,37.614092074158656,350,CHAdeMO,6.922984610698953,55.69,37.61,878.8310917502686,159.35152870166235,158.80602,0.8292289189202031,2.572490618624241,1000,436.4105898179922,563.5894101820078,0.5635894101820078,0.5252799468488005,4,0.105,14000000.0,6455991.0,5255991.0,15697522.0,0.358,3.0
170,55.77726788295647,37.43468065043759,350,GBT,20.410330611781493,55.78,37.43,1157.3291863670397,136.94148489374678,136.97118,0.7152151002501326,2.8275720147533625,1500,368.5603800334127,1131.439619966587,0.7542930799777249,0.5196922242104787,5,0.092,14000000.0,5652644.0,4452644.0,11158430.0,0.294,4.0
67,55.64227726749243,37.74850787049763,350,CCS,19.25871306652299,55.64,37.75,1032.6986997419149,179.96421033063697,139.64493,0.729176477923113,2.3301784834603345,1500,499.2878475929634,1000.7121524070368,0.6671414349380245,0.5118213073743637,6,0.094,14000000.0,5751016.0,4551016.0,11714257.0,0.302,4.0
178,55.716020603890165,37.41163596786791,350,CHAdeMO,23.25180947660733,55.72,37.41,878.8310917502686,163.2856614887543,148.52806,0.7755610437382354,4.646304458253503,1500,368.5603800334127,1131.439619966587,0.7542930799777249,0.5085687999736697,7,0.099,14000000.0,6077844.0,4877844.0,13560909.0,0.328,3.0
19,55.72958350559264,37.72481644952361,350,CHAdeMO,12.283990163488228,55.73,37.72,1072.9136082754294,160.18404740520646,129.56183,0.6765260928031767,2.3746332475154683,1500,411.7925276964724,1088.2074723035275,0.7254716482023517,0.5019857826363767,8,0.088,14000000.0,5380039.0,4180039.0,9618152.0,0.272,4.0
18,55.75742692948967,37.77324570255901,350,CCS,17.31091497171868,55.76,37.77,909.1155448057872,172.9844774929743,172.45686,0.9005087815825422,1.230657198987867,500,383.4697164858371,116.53028351416287,0.2330605670283257,0.4922290845584696,9,0.113,14000000.0,6958233.0,5758233.0,18535300.0,0.397,3.0
9,55.780334503522965,37.40253079192311,350,CCS,23.99442986278384,55.78,37.4,878.8310917502686,150.322741248764,150.63588,0.7865673349347426,3.986352713629092,800,313.8135628725825,486.1864371274175,0.6077330464092718,0.485088893113855,10,0.1,14000000.0,6155395.0,4955395.0,13999089.0,0.334,3.0
162,55.78969174917808,37.72164410922117,350,CHAdeMO,12.17784019665143,55.79,37.72,1031.0419780392476,127.72878287951583,128.30878,0.6699831084953215,2.8271433992798447,1500,436.4373725262676,1063.5626274737324,0.709041751649155,0.4835105620380383,11,0.087,14000000.0,5333937.0,4133937.0,9357664.0,0.268,4.0
72,55.65961470446025,37.80505669733959,350,CHAdeMO,23.41657759339288,55.66,37.81,787.8836200026564,154.03010218470686,153.71129,0.8026260391925308,5.350562818134248,1500,499.2878475929634,1000.7121524070368,0.6671414349380245,0.4799648143066924,12,0.102,14000000.0,6268546.0,5068546.0,14638414.0,0.343,3.0
24,55.70990855298811,37.58385790152972,350,CCS,6.303000740997372,55.71,37.58,878.8310917502686,150.75713749183276,150.8513,0.7876921820514565,1.9393050661061768,1000,579.4200733912879,420.57992660871207,0.4205799266087121,0.475985934012936,13,0.101,14000000.0,6163321.0,4963321.0,14043871.0,0.335,3.0
26,55.8355527884179,37.52199482168954,350,CHAdeMO,13.79421624559841,55.84,37.52,878.8310917502686,157.62934849010287,157.73979,0.8236614426354862,4.582142702224519,1000,441.5436207570488,558.4563792429512,0.5584563792429512,0.4753248551049647,14,0.105,14000000.0,6416762.0,5216762.0,15475871.0,0.355,3.0
164,55.76073240522243,37.67280839465796,350,GBT,6.1857089210128295,55.76,37.67,554.8968980733284,139.09656965195646,139.19693,0.7268371802335403,1.7797623219084944,1500,746.5497911059733,753.4502088940267,0.5023001392626845,0.4736970970048783,15,0.094,14000000.0,5734533.0,4534533.0,11621125.0,0.3,4.0
158,55.82848588459861,37.69288779063673,350,CHAdeMO,11.640059292067017,55.83,37.69,417.13841516857485,118.75382752306956,118.98473,0.6212962142487563,2.714997699150985,1500,436.4373725262676,1063.5626274737324,0.709041751649155,0.4617135110361992,16,0.081,14000000.0,4990886.0,3790886.0,7419352.0,0.239,4.0
183,55.877408085483566,37.71447142338994,350,GBT,17.27853681271617,55.88,37.71,123.23583270680908,126.23169515768654,115.47692,0.6029796699888001,1.302605322116572,1500,554.1581174522897,945.8418825477104,0.6305612550318068,0.4610810709073967,17,0.079,14000000.0,4861827.0,3661827.0,6690138.0,0.228,4.0
173,55.75362791748979,37.44722148037796,350,CHAdeMO,18.88025517362524,55.75,37.45,1061.0220003259496,127.02576769996756,127.30172,0.6647245970416135,1.3182978594310812,1000,505.5145543071261,494.4854456928739,0.4944854456928739,0.450774474661367,18,0.086,14000000.0,5296885.0,4096885.0,9148313.0,0.265,4.0
