id,latitude,longitude,type,power_kw,name
26999673,55.7788343,37.6537207,transport_hub,150,Москва-Пассажирская
31447943,55.7268977,37.4495857,transport_hub,150,Кунцевская
54626031,55.8030155,37.7466848,transport_hub,150,Черкизово
68916801,55.788503,37.7509929,transport_hub,150,Партизанская
68937012,55.7833072,37.7212818,transport_hub,150,Семёновская
146573247,55.795067,37.6322554,transport_hub,150,Москва-Рижская
220196839,55.699905,37.6512864,transport_hub,150,Кожухово
220203803,55.7154769,37.6874448,transport_hub,150,Угрешская
241158327,55.7461266,37.5148273,transport_hub,150,Фили
241158415,55.7388299,37.5484101,transport_hub,150,Студенческая
242546356,55.7730392,37.6805494,transport_hub,150,Бауманская
244036856,55.7359875,37.4671358,transport_hub,150,Пионерская
252828224,55.747394,37.5818245,transport_hub,150,Смоленская
253016893,55.7088138,37.7315039,transport_hub,150,Текстильщики
253016895,55.7156444,37.8179229,transport_hub,150,Выхино
253045735,55.7500874,37.5413666,transport_hub,150,Деловой центр
253780238,55.7295963,37.4707878,transport_hub,150,Славянский бульвар
255744331,55.751769,37.8167454,transport_hub,150,Новогиреево
255744332,55.7511973,37.7864823,transport_hub,150,Перово
255744578,55.7575686,37.7494868,transport_hub,150,Шоссе Энтузиастов
259785706,55.6188619,37.5082183,transport_hub,150,Тёплый Стан
259786804,55.657091,37.5405263,transport_hub,150,Калужская
259786806,55.6702787,37.5546984,transport_hub,150,Новые Черёмушки
264162888,55.6063062,37.533407,transport_hub,150,Ясенево
265949954,55.8146824,37.73434,transport_hub,150,Бульвар Рокоссовского
265949956,55.8038807,37.7450321,transport_hub,150,Черкизовская
266426836,55.842712,37.5304764,transport_hub,150,Лихоборы
266835841,55.8550132,37.4762129,transport_hub,150,Речной вокзал
266835844,55.8400589,37.4867105,transport_hub,150,Водный стадион
266835845,55.819052,37.4980181,transport_hub,150,Войковская
266835847,55.8003966,37.5331501,transport_hub,150,Аэропорт
267335088,55.7752083,37.6560339,transport_hub,150,Комсомольская
267335089,55.780356,37.6676557,transport_hub,150,Красносельская
267772268,55.6534701,37.8596249,transport_hub,150,Яничкино
268521588,55.8552129,37.652706,transport_hub,150,Свиблово
268521591,55.8448445,37.6382462,transport_hub,150,Ботанический сад
276191013,55.7525349,37.7200631,transport_hub,150,Авиамоторная
277499099,55.7937015,37.6364976,transport_hub,150,Рижская
278693055,55.7233833,37.5642133,transport_hub,150,Спортивная
282413851,55.6878077,37.5735148,transport_hub,150,Академическая
282414382,55.6779304,37.5629043,transport_hub,150,Профсоюзная
282416839,55.6427774,37.5256804,transport_hub,150,Беляево
291687197,55.7488081,37.5827207,transport_hub,150,Смоленская
291687455,55.7701709,37.5950872,transport_hub,150,Маяковская
291712231,55.6009942,37.554139,transport_hub,150,Новоясеневская
292143794,55.7575071,37.6191912,transport_hub,150,Театральная
292147581,55.6784809,37.6639248,transport_hub,150,Коломенская
292148161,55.6936232,37.6644353,transport_hub,150,Технопарк
292789222,55.654956,37.6221979,transport_hub,150,Варшавская
294024698,55.7291072,37.6244196,transport_hub,150,Добрынинская
296947185,55.7192085,37.6755406,transport_hub,150,Дубровка
296949278,55.6934907,37.726952,transport_hub,150,Печатники
296949283,55.6908257,37.7531007,transport_hub,150,Волжская
296949290,55.6500158,37.7431467,transport_hub,150,Марьино
296953130,55.7279529,37.6248289,transport_hub,150,Серпуховская
296953132,55.6829727,37.6224144,transport_hub,150,Нагатинская
296953133,55.6719433,37.6102741,transport_hub,150,Нагорная
