id,latitude,longitude,capacity_kw,load_kw
1,55.71363178778539,37.500865231165115,1000,639.3050083937843
2,55.701234050161574,37.74228577393991,500,729.7074448397714
3,55.869894219143504,37.44393405562133,500,659.417618866396
4,55.78226656668807,37.46941238672101,1500,796.0792966854469
5,55.673305946639395,37.40135544970716,800,875.4448767384166
6,55.74947430935468,37.45834803207084,1000,505.51455430712605
7,55.69910454438428,37.63658310052595,1000,436.4105898179922
8,55.88010754712796,37.703050940527916,1500,554.1581174522897
9,55.602260308940224,37.79714472498323,500,472.75776988543566
10,55.66759983931376,37.45334962505672,800,668.9701578915926
11,55.70960704590222,37.82536373000823,500,847.1114453057788
12,55.74634294024262,37.77298726277436,500,383.4697164858371
13,55.855245255350845,37.60425914646796,500,360.4767618095319
14,55.626366287362046,37.866469033549976,500,453.60931911219734
15,55.84175946602234,37.895464738228696,1000,735.6573516374405
16,55.61669604680709,37.502500905026615,1000,655.7777431552929
17,55.852694210589455,37.5896142924819,500,361.32759853511976
18,55.61549064336236,37.86322471179486,800,851.2503133564479
19,55.60547274442851,37.760798275375635,1500,774.0507822744521
20,55.80908843870993,37.424047321982044,800,313.8135628725825
21,55.89917666043052,37.790757240875706,800,690.8203265929476
22,55.86898307889221,37.813970443588744,800,762.7480011118428
23,55.772799525341696,37.77525096238266,500,524.6612218322532
24,55.87521868392566,37.79976856545976,1000,341.3529236203313
25,55.601590001919284,37.8125663383464,800,346.39263929327234
26,55.89252014888354,37.49320249339407,500,362.5481796310857
27,55.747224633777634,37.5178458730325,800,804.2637791882537
28,55.81686882898653,37.71687928186009,800,846.4117189534278
29,55.846258441946006,37.85393306523126,500,373.6864691074403
30,55.81553718125097,37.55809829114825,1000,441.54362075704876
31,55.760511019613475,37.694153337897525,1000,399.31230622037384
32,55.742985845237925,37.74149103170856,1500,411.7925276964724
33,55.851574767610785,37.62597430064952,500,802.4944734014953
34,55.66152326804484,37.75689122742766,1500,499.2878475929634
35,55.890398219951265,37.84983372264608,1500,486.8665584273847
36,55.81328574365102,37.71205077209092,1500,436.4373725262676
37,55.659852078201496,37.66989053095732,1000,664.7366362765551
38,55.82087415510954,37.619372337694166,500,527.5834190313293
39,55.75895200695434,37.68874313545306,1500,746.5497911059733
40,55.81216902869333,37.577681225909195,500,423.3478850253825
41,55.83033385043285,37.59574105510075,500,772.6739332286954
42,55.626187053876905,37.665928739844084,1000,662.2329190380833
43,55.75183118690781,37.433309556195404,1500,368.5603800334127
44,55.87960430267708,37.51451269546239,1500,548.7027505221766
45,55.696192657647856,37.6714246553067,500,818.1108843677741
46,55.77816492926737,37.61576407156822,800,853.776139079091
47,55.71076914445297,37.56640789295624,1000,579.4200733912879
48,55.73628039166573,37.76527456840465,1000,588.5021868534441
49,55.764580935381446,37.74685880370167,1000,851.0728349635807
50,55.76467659396669,37.48336537999669,1000,652.2409344819403
