id,latitude,longitude,power_kw,connector_type
1,55.71236203565421,37.721015823077146,50,CHAdeMO
2,55.88521429192297,37.44206998249752,150,CCS
3,55.81959818254342,37.48081435704731,50,GBT
4,55.77959754525911,37.84927709426354,50,CHAdeMO
5,55.64680559213273,37.70321452982979,150,CCS
6,55.64679835610086,37.40459852580831,50,CHAdeMO
7,55.61742508365046,37.45073577143302,150,CCS
8,55.85985284373248,37.731750884554025,50,CCS
9,55.780334503522965,37.402530791923105,350,CCS
10,55.81242177333881,37.48040402570875,350,GBT
11,55.606175348288744,37.67436689468329,50,GBT
12,55.8909729556486,37.74594759884634,50,CHAdeMO
13,55.849732792240125,37.7259806297513,50,CCS
14,55.66370173320348,37.512134654730275,350,CCS
15,55.65454749016213,37.75608961067377,50,GBT
16,55.655021352956034,37.5186245437484,350,CCS
17,55.69127267288786,37.562699849079635,150,GBT
18,55.75742692948967,37.77324570255901,350,CCS
19,55.729583505592636,37.72481644952361,350,CHAdeMO
20,55.68736874205941,37.82461170524709,150,CCS
21,55.78355586841671,37.72880644615017,350,CCS
22,55.641848158195614,37.68415430166773,50,GBT
23,55.68764339456057,37.446837383914044,50,CCS
24,55.70990855298811,37.58385790152972,350,CCS
25,55.73682099526511,37.53260118384086,50,GBT
26,55.8355527884179,37.52199482168954,350,CHAdeMO
27,55.65990213464751,37.88650527737622,50,CHAdeMO
28,55.75427033152408,37.59654886233338,50,GBT
29,55.77772437065861,37.84602327758856,350,GBT
30,55.613935123816,37.71556931299863,50,GBT
31,55.78226345557043,37.79740565177082,350,GBT
32,55.65115723710619,37.651318546552595,50,GBT
33,55.61951547789558,37.68845194231318,50,CHAdeMO
34,55.884665661176,37.64625884690943,150,CHAdeMO
35,55.889689609922364,37.49762149389902,150,GBT
36,55.842519204434936,37.76122605763075,350,CCS
37,55.69138413075201,37.54038618122043,150,GBT
38,55.629301634201916,37.41215798321573,350,CCS
39,55.805269907953644,37.72273614795358,150,GBT
40,55.732045748121884,37.488555339703524,50,GBT
41,55.63661147045344,37.870229292176454,350,CHAdeMO
42,55.74855307303338,37.87696428850129,350,CCS
43,55.61031655633457,37.85743219511022,50,CCS
44,55.87279612062363,37.58507935012772,350,CHAdeMO
45,55.677633994480004,37.40772830826443,350,CHAdeMO
46,55.798756685306195,37.86415928129386,150,CHAdeMO
47,55.693513322826824,37.614092074158656,350,CHAdeMO
48,55.75602040635334,37.88332740952183,50,CCS
49,55.764013083802986,37.881809988544624,150,CCS
50,55.65545633665766,37.82650472773368,150,GBT
51,55.89087538832936,37.54722444603479,50,GBT
52,55.832539847008334,37.59254886430096,50,CHAdeMO
53,55.88184968246926,37.825568335758426,150,CHAdeMO
54,55.868448205128296,37.558461002578134,350,CHAdeMO
55,55.77936999364333,37.48474637334304,150,GBT
56,55.87656227050693,37.678400631229174,50,GBT
57,55.62654775061558,37.86807738708039,150,GBT
58,55.65879485872574,37.74801489833749,50,GBT
59,55.61356818667316,37.68503058504468,150,GBT
60,55.69759909922898,37.448588246885386,350,GBT
61,55.716603186906845,37.70750361334958,150,GBT
62,55.68140470953217,37.89502692505213,150,CHAdeMO
63,55.84862125274558,37.47004200761826,50,CHAdeMO
64,55.70702599800808,37.659164826181865,50,CHAdeMO
65,55.684280352906214,37.83868653596397,50,CHAdeMO
66,55.76280882494748,37.7703843088771,150,GBT
67,55.64227726749243,37.74850787049763,350,CCS
68,55.84065909422621,37.75124204199356,50,GBT
69,55.62236519310393,37.57974557560988,50,CCS
70,55.896066080980155,37.54679592213225,150,CHAdeMO
71,55.831673430788996,37.804680577739255,50,GBT
72,55.65961470446025,37.80505669733959,350,CHAdeMO
73,55.60165663513708,37.83353615929005,350,GBT
74,55.84463842853645,37.856620276278235,50,CHAdeMO
75,55.81205720315428,37.655671199430465,50,CCS
